SOURCE,TARGET,TYPE,WEIGHT
0,0,undirected,1.0000000000000002
0,1,undirected,0.981778294186524
0,2,undirected,0.5979523049427835
0,3,undirected,0.826135365109285
0,4,undirected,0.9414125279021168
0,5,undirected,0.8312764734017888
0,6,undirected,0.8824614352815094
0,7,undirected,0.937506809457548
0,8,undirected,0.9927993714580556
0,9,undirected,0.94847964354475
0,10,undirected,0.9397850769140946
0,11,undirected,0.9060211084396164
0,12,undirected,0.9064181971939268
0,13,undirected,0.9182438206968746
0,14,undirected,0.9136460298852164
0,15,undirected,0.9433466472424948
0,16,undirected,0.9860405366484511
0,17,undirected,0.9969793029262812
0,18,undirected,0.8092357076980873
0,19,undirected,0.9860408086506444
0,20,undirected,0.9104577273760897
0,21,undirected,0.9936498186445828
0,22,undirected,0.5849313596266487
0,23,undirected,0.9874476919763192
0,24,undirected,0.9890185250219048
0,25,undirected,0.860804853992
0,26,undirected,0.9561451942988132
0,27,undirected,0.5739640321772883
0,28,undirected,0.9927462192259452
0,29,undirected,0.9046401001987576
0,30,undirected,0.6302469701067082
0,31,undirected,0.815715605174915
0,32,undirected,0.6546483237099767
0,33,undirected,0.9321015844752606
0,34,undirected,0.934377513419433
1,1,undirected,1.0
1,2,undirected,0.5648770135195753
1,3,undirected,0.8446287949079387
1,4,undirected,0.951659132773648
1,5,undirected,0.8482056171963452
1,6,undirected,0.928698697133242
1,7,undirected,0.9520820150217844
1,8,undirected,0.9922996655794504
1,9,undirected,0.9738063511770656
1,10,undirected,0.9742059806651052
1,11,undirected,0.9447468391369376
1,12,undirected,0.9242469268230618
1,13,undirected,0.95778109329332
1,14,undirected,0.9218816990578796
1,15,undirected,0.9761257024070684
1,16,undirected,0.9813892419181952
1,17,undirected,0.9756094093586728
1,18,undirected,0.8136284104140676
1,19,undirected,0.9865357966470534
1,20,undirected,0.9386060358927713
1,21,undirected,0.9863244135136676
1,22,undirected,0.5528009649697341
1,23,undirected,0.9950374017275796
1,24,undirected,0.9810070288612224
1,25,undirected,0.8826013720535093
1,26,undirected,0.9812946636506656
1,27,undirected,0.5396656939382452
1,28,undirected,0.9825494961099211
1,29,undirected,0.9368662467125918
1,30,undirected,0.7211078204463648
1,31,undirected,0.8913569700715659
1,32,undirected,0.5818550466371056
1,33,undirected,0.94450950435544
1,34,undirected,0.9486041590580988
2,2,undirected,1.0
2,3,undirected,0.8387539020764928
2,4,undirected,0.7393053206056773
2,5,undirected,0.8386686485357222
2,6,undirected,0.6878766709441477
2,7,undirected,0.725540049661134
2,8,undirected,0.6230756094207708
2,9,undirected,0.6657246923247536
2,10,undirected,0.636813116412351
2,11,undirected,0.6779140968648713
2,12,undirected,0.7719425402292502
2,13,undirected,0.6651487785483154
2,14,undirected,0.7790921275281455
2,15,undirected,0.6083704210248879
2,16,undirected,0.5138945729472426
2,17,undirected,0.6095499680511816
2,18,undirected,0.8844246179194188
2,19,undirected,0.6123397722499152
2,20,undirected,0.7251529016524876
2,21,undirected,0.5525992439511327
2,22,undirected,0.999414918977298
2,23,undirected,0.5702552627277958
2,24,undirected,0.52150028239577
2,25,undirected,0.8056523623155643
2,26,undirected,0.5955240111147759
2,27,undirected,0.9965980874023704
2,28,undirected,0.6595735942401687
2,29,undirected,0.722005402804244
2,30,undirected,0.4286679314412184
2,31,undirected,0.6299790325504024
2,32,undirected,0.8951738761633512
2,33,undirected,0.7699345984282717
2,34,undirected,0.7432752164000531
3,3,undirected,1.0000000000000002
3,4,undirected,0.9637312157229844
3,5,undirected,0.9997979944602928
3,6,undirected,0.9603914153346552
3,7,undirected,0.9633769678864323
3,8,undirected,0.8704083531954935
3,9,undirected,0.9355197922003804
3,10,undirected,0.9269969591329366
3,11,undirected,0.9555702304833305
3,12,undirected,0.983952375488888
3,13,undirected,0.9424645796255384
3,14,undirected,0.98066328773898
3,15,undirected,0.9095349689620946
3,16,undirected,0.7711659563542845
3,17,undirected,0.8282887211016966
3,18,undirected,0.9944835790298168
3,19,undirected,0.8681649621830879
3,20,undirected,0.9717532393448152
3,21,undirected,0.7913694192023761
3,22,undirected,0.825437938780739
3,23,undirected,0.8473805256609648
3,24,undirected,0.7781808151901701
3,25,undirected,0.994623983738608
3,26,undirected,0.894472977151518
3,27,undirected,0.8148542636884253
3,28,undirected,0.8755105637520595
3,29,undirected,0.9661607127376696
3,30,undirected,0.7706949415706821
3,31,undirected,0.9211435293714402
3,32,undirected,0.8034746504749367
3,33,undirected,0.9719167504445254
3,34,undirected,0.9648109056147272
4,4,undirected,0.9999999999999998
4,5,undirected,0.9654352475256236
4,6,undirected,0.9769845419892916
4,7,undirected,0.9993938826255612
4,8,undirected,0.9672892184080668
4,9,undirected,0.9917743854515596
4,10,undirected,0.983670772678507
4,11,undirected,0.9858875058424
4,12,undirected,0.994713103965238
4,13,undirected,0.9819188074252048
4,14,undirected,0.9945005548439014
4,15,undirected,0.9779301450342288
4,16,undirected,0.9023083465353224
4,17,undirected,0.9419441288298316
4,18,undirected,0.9463366418413648
4,19,undirected,0.9602328401104968
4,20,undirected,0.994209403608716
4,21,undirected,0.9198891579359756
4,22,undirected,0.7250072597372321
4,23,undirected,0.954747254386936
4,24,undirected,0.9104813952257864
4,25,undirected,0.9800382613862688
4,26,undirected,0.973919731190201
4,27,undirected,0.713334824337905
4,28,undirected,0.9685454788087716
4,29,undirected,0.9887159815273936
4,30,undirected,0.7546815904231864
4,31,undirected,0.9310327086426728
4,32,undirected,0.7436949781263142
4,33,undirected,0.9976901914062996
4,34,undirected,0.99673425545049
5,5,undirected,1.0
5,6,undirected,0.9608846866747842
5,7,undirected,0.9650703877199686
5,8,undirected,0.8741858013702988
5,9,undirected,0.9375606991448702
5,10,undirected,0.9290917066494814
5,11,undirected,0.9569577593880486
5,12,undirected,0.9850866923917936
5,13,undirected,0.9435797438616796
5,14,undirected,0.9814778246990756
5,15,undirected,0.912059643788978
5,16,undirected,0.7772025895082169
5,17,undirected,0.8324368265700735
5,18,undirected,0.9947603195608364
5,19,undirected,0.8730870827951622
5,20,undirected,0.9727489255940523
5,21,undirected,0.7966096356534278
5,22,undirected,0.8253495459032141
5,23,undirected,0.8522822401433946
5,24,undirected,0.7844892884718175
5,25,undirected,0.993965532216414
5,26,undirected,0.8980151259488481
5,27,undirected,0.8137746439701056
5,28,undirected,0.880158211941642
5,29,undirected,0.9678790444067066
5,30,undirected,0.7696917288483354
5,31,undirected,0.9208517122961328
5,32,undirected,0.8033407078604758
5,33,undirected,0.9737118126149592
5,34,undirected,0.9672949643412092
6,6,undirected,1.0
6,7,undirected,0.9806198343019356
6,8,undirected,0.9294025447622192
6,9,undirected,0.9830522047565226
6,10,undirected,0.9866581482645544
