SOURCE,TARGET,TYPE,WEIGHT
0,0,undirected,1.0000000000000002
0,1,undirected,0.9782072680106284
0,2,undirected,0.98390018493431
0,3,undirected,0.907673655632384
0,4,undirected,0.990589099334217
0,5,undirected,0.8944971750245528
0,6,undirected,0.987071701354345
0,7,undirected,0.9866562392486228
0,8,undirected,0.8573151334898448
0,9,undirected,0.9796511341473914
0,10,undirected,0.7829662185455423
0,11,undirected,0.9967375372860564
0,12,undirected,0.960533999629142
0,13,undirected,0.766616148580429
0,14,undirected,0.9720880254037816
0,15,undirected,0.8841082263919242
0,16,undirected,0.977662678277044
0,17,undirected,0.9571908033019664
0,18,undirected,0.9203641282835986
0,19,undirected,0.9925734038819292
0,20,undirected,0.9709200982429046
0,21,undirected,0.9825162822360612
0,22,undirected,0.7764542242825714
0,23,undirected,0.9249230386285942
0,24,undirected,0.786090749403312
0,25,undirected,0.9983010857356348
0,26,undirected,0.9544661937991624
0,27,undirected,0.9335945813662658
0,28,undirected,0.968528571056242
0,29,undirected,0.9246245408268888
0,30,undirected,0.9912438367037768
0,31,undirected,0.8605820946471747
0,32,undirected,0.9731814913440544
0,33,undirected,0.8108210937773375
0,34,undirected,0.8271767393646168
0,35,undirected,0.9460045340217954
0,36,undirected,0.9799280158377296
0,37,undirected,0.9415129662340614
0,38,undirected,0.749408606195779
0,39,undirected,0.9225496970223526
0,40,undirected,0.9968782687201024
0,41,undirected,0.9921155637891456
1,1,undirected,1.0
1,2,undirected,0.9286269012763376
1,3,undirected,0.8223126685449823
1,4,undirected,0.9542213708577304
1,5,undirected,0.8109299693407396
1,6,undirected,0.9438575452699782
1,7,undirected,0.9385226716006196
1,8,undirected,0.7619186701419336
1,9,undirected,0.9996262377610502
1,10,undirected,0.8718689965226581
1,11,undirected,0.9839333970507298
1,12,undirected,0.8884695416996778
1,13,undirected,0.8584601765558559
1,14,undirected,0.9993052417773812
1,15,undirected,0.8018271800756636
1,16,undirected,0.9211087082033532
1,17,undirected,0.8872389185019276
1,18,undirected,0.8375255212509525
1,19,undirected,0.9636776259731344
1,20,undirected,0.9986926878856864
1,21,undirected,0.9343534125608288
1,22,undirected,0.8680255069361653
1,23,undirected,0.8394084668024767
1,24,undirected,0.8750882624494107
1,25,undirected,0.9748962121508544
1,26,undirected,0.9019390351026692
1,27,undirected,0.8571606144037304
1,28,undirected,0.9923309036151108
1,29,undirected,0.8547235579677052
1,30,undirected,0.9825381004369268
1,31,undirected,0.754989835884343
1,32,undirected,0.910462637253752
1,33,undirected,0.7202689344567615
1,34,undirected,0.720211232290218
1,35,undirected,0.9047645573572488
1,36,undirected,0.9958258264104932
1,37,undirected,0.918428840433349
1,38,undirected,0.650939106597926
1,39,undirected,0.8478398492181631
1,40,undirected,0.976080709546733
1,41,undirected,0.9523040862214492
2,2,undirected,0.9999999999999996
2,3,undirected,0.9482728073551694
2,4,undirected,0.9935964227093632
2,5,undirected,0.9272205983334784
2,6,undirected,0.9831321729587702
2,7,undirected,0.9978012062627264
2,8,undirected,0.8933956350424077
2,9,undirected,0.9325965971095204
2,10,undirected,0.6839698419496919
2,11,undirected,0.977203688013644
2,12,undirected,0.9934779192378284
2,13,undirected,0.6664136647815925
2,14,undirected,0.9174970764356108
2,15,undirected,0.9072173044659808
2,16,undirected,0.986831519668846
2,17,undirected,0.9781858341778974
2,18,undirected,0.9504520108841046
2,19,undirected,0.9888780976441688
2,20,undirected,0.9156591241604818
2,21,undirected,0.9841301487462965
2,22,undirected,0.6747550927151511
2,23,undirected,0.9675141751470464
2,24,undirected,0.6880707511340939
2,25,undirected,0.9798560373431602
2,26,undirected,0.9535457398948668
2,27,undirected,0.9592797925751626
2,28,undirected,0.9183336284352268
2,29,undirected,0.941043053201938
2,30,undirected,0.9695827411272256
2,31,undirected,0.9227377860959884
2,32,undirected,0.9936937863607662
2,33,undirected,0.8430990263243041
2,34,undirected,0.883982627074439
2,35,undirected,0.9362885541171432
2,36,undirected,0.9392347483593184
2,37,undirected,0.9178251970703426
2,38,undirected,0.7787279942912155
2,39,undirected,0.9420922722049192
2,40,undirected,0.9806674833800054
2,41,undirected,0.9900925367857546
3,3,undirected,1.0
3,4,undirected,0.9245833519915888
3,5,undirected,0.9909408586069802
3,6,undirected,0.947911451160304
3,7,undirected,0.9441619287316504
3,8,undirected,0.9706877713401432
3,9,undirected,0.8272609381964229
3,10,undirected,0.5802543111000322
3,11,undirected,0.8979085180841939
3,12,undirected,0.9595862197163528
3,13,undirected,0.5647450103560343
3,14,undirected,0.8043168811933025
3,15,undirected,0.9695478084969368
3,16,undirected,0.962720918924756
3,17,undirected,0.9827812196128438
3,18,undirected,0.9904194659665396
3,19,undirected,0.9045405855836044
3,20,undirected,0.8119273974704805
3,21,undirected,0.9618037738544412
3,22,undirected,0.5696646836844891
3,23,undirected,0.9944444534017212
