SOURCE,TARGET,TYPE,WEIGHT
0,0,undirected,1.0
0,1,undirected,0.6382838289072906
0,2,undirected,0.6351010145564717
0,3,undirected,0.7638968033589385
0,4,undirected,0.7056854028259297
0,5,undirected,0.5284582586068232
0,6,undirected,0.5991668296631089
0,7,undirected,0.7049176924007905
0,8,undirected,0.6105606407734285
0,9,undirected,0.8226400643753953
0,10,undirected,0.6526897347496871
0,11,undirected,0.7931747702412303
0,12,undirected,0.615802929322512
0,13,undirected,0.5791983625410871
0,14,undirected,0.6899342609335192
0,15,undirected,0.6470375528908879
0,16,undirected,0.6904561333191023
0,17,undirected,0.6548978882732518
0,18,undirected,0.674811602949924
0,19,undirected,0.6195977061248626
0,20,undirected,0.5651430843524268
0,21,undirected,0.592045603716997
0,22,undirected,0.7328989600515339
0,23,undirected,0.4914538292956577
0,24,undirected,0.6101457510602132
0,25,undirected,0.7188270667178769
0,26,undirected,0.7419131165390659
1,1,undirected,1.0
1,2,undirected,0.9840989573164622
1,3,undirected,0.9719414686626268
1,4,undirected,0.990700298189257
1,5,undirected,0.9049362139649524
1,6,undirected,0.9490664421425492
1,7,undirected,0.983759590659622
1,8,undirected,0.9343285129715544
1,9,undirected,0.944338126980026
1,10,undirected,0.997179752716586
1,11,undirected,0.9609560074000796
1,12,undirected,0.9799843914886032
1,13,undirected,0.9737978043343476
1,14,undirected,0.9788177632422772
1,15,undirected,0.9983710957294614
1,16,undirected,0.983333079720676
1,17,undirected,0.9921662857148524
1,18,undirected,0.9961811979431038
1,19,undirected,0.9700021902007118
1,20,undirected,0.9384530785591196
1,21,undirected,0.9963790111574272
1,22,undirected,0.9822934979968336
1,23,undirected,0.9001346161858258
1,24,undirected,0.9383604203838476
1,25,undirected,0.9907535234091236
1,26,undirected,0.9858259265291778
2,2,undirected,1.0000000000000002
2,3,undirected,0.9405593301046006
2,4,undirected,0.9637786621387088
2,5,undirected,0.961998192417888
2,6,undirected,0.9894727537113804
2,7,undirected,0.9917162017307172
2,8,undirected,0.9820849393769678
2,9,undirected,0.9177710457220865
2,10,undirected,0.99343012469701
2,11,undirected,0.934044616185706
2,12,undirected,0.9982892899546114
2,13,undirected,0.995771496283666
2,14,undirected,0.9951329148241016
2,15,undirected,0.9735377893588992
2,16,undirected,0.989388940666132
2,17,undirected,0.9625885167988112
2,18,undirected,0.9727000536144348
2,19,undirected,0.9957815000769789
2,20,undirected,0.9813363836364009
2,21,undirected,0.9713523205883418
2,22,undirected,0.9877138251742312
2,23,undirected,0.9546478069158212
2,24,undirected,0.9830647375872896
2,25,undirected,0.9883173379984592
2,26,undirected,0.9843923072092567
3,3,undirected,1.0000000000000002
3,4,undirected,0.994369403808252
3,5,undirected,0.8229348082309361
3,6,undirected,0.8881977014670646
3,7,undirected,0.9639771661459704
3,8,undirected,0.874076866642539
3,9,undirected,0.9936129660454582
3,10,undirected,0.9681653197673
3,11,undirected,0.9975501545559046
3,12,undirected,0.9271724329299104
3,13,undirected,0.9097202458891512
3,14,undirected,0.9515983383348154
3,15,undirected,0.9799480692279212
3,16,undirected,0.9640425049430096
3,17,undirected,0.9837547942609078
3,18,undirected,0.987034674645785
3,19,undirected,0.9161736089926734
3,20,undirected,0.8659719222916417
3,21,undirected,0.961155332009853
3,22,undirected,0.9707917857362336
3,23,undirected,0.8125316507935465
3,24,undirected,0.8797086038807416
3,25,undirected,0.9800284347492182
3,26,undirected,0.981627965794826
4,4,undirected,1.0
4,5,undirected,0.8605731142591169
4,6,undirected,0.9171193219767552
4,7,undirected,0.976528282347705
4,8,undirected,0.901727201655834
4,9,undirected,0.977361065876953
4,10,undirected,0.9867157419191116
4,11,undirected,0.986972295367084
4,12,undirected,0.954094369360387
4,13,undirected,0.9415278974662216
4,14,undirected,0.9669202042420396
4,15,undirected,0.9951620324084872
4,16,undirected,0.9784456761457244
4,17,undirected,0.9958783748016902
4,18,undirected,0.998155409025512
4,19,undirected,0.9422425683169138
4,20,undirected,0.8998573422962424
4,21,undirected,0.984504979338456
4,22,undirected,0.9795460375909312
4,23,undirected,0.854309398772277
4,24,undirected,0.9069460549669132
4,25,undirected,0.989521116334662
4,26,undirected,0.9879373142046572
5,5,undirected,1.0000000000000002
5,6,undirected,0.9895108103278824
5,7,undirected,0.9300862987687748
5,8,undirected,0.986759440794997
5,9,undirected,0.7971383343805832
5,10,undirected,0.928499350007905
5,11,undirected,0.8165618585104718
5,12,undirected,0.964483001703518
5,13,undirected,0.9743144654765372
5,14,undirected,0.9473090043573158
5,15,undirected,0.8815735087760648
5,16,undirected,0.9282258501934072
